W,L,Nup,Ndown,E,time(ms), time(sec),
2,40,6,6,-52.1469634784489458,1056124,1056,
2,40,43,0,-56.5693795715877599,5725683,5725,
2,40,7,7,-60.7671932667147630,2136709,2136,
2,40,30,0,-53.6290347847905764,6865344,6865,
2,40,50,0,-53.6290347839470130,7112371,7112,
2,40,18,1,-49.6425229302837110,6141212,6141,
2,40,19,1,-51.0808319599456695,6889501,6889,
2,40,8,8,-69.3536039508582576,3898249,3898,
2,40,9,9,-77.9007834447084946,4416525,4416,
2,40,20,1,-52.3706391531853441,7514769,7514,
2,40,21,1,-53.5102496813270179,7906113,7906,
2,40,10,10,-86.4033888525641345,5073677,5073,
1,40,20,0,-25.1077970993072768,12012,12,
2,40,12,12,-103.2548174887499925,5077603,5077,
1,40,19,1,-32.4224648537368125,245820,245,
1,40,18,2,-39.3024401024779237,288657,288,
1,40,17,3,-45.7459605777018510,632145,632,
2,40,13,13,-111.5948342615696447,5961735,5961,
1,40,16,4,-51.7552370481550383,768474,768,
2,40,11,11,-94.8563031891880826,6552300,6552,
1,40,15,5,-57.3378533998806574,1346795,1346,
1,40,14,6,-62.5088491671442483,1686609,1686,
1,40,13,7,-67.2939191670624268,1758316,1758,
1,40,10,10,-79.8698718034294046,851830,851,
1,40,3,17,-45.7459605746390636,479820,479,
1,40,2,18,-39.3024401442036577,406717,406,
1,40,0,20,-25.1077970993072768,11965,11,
1,40,40,0,0.0000000000000000,75,0,
1,40,39,1,-10.9714878069778887,3136,3,
1,40,1,19,-32.4224648047254220,171756,171,
1,40,38,2,-21.8356530678763292,50651,50,
1,40,37,3,-32.5211722871781035,49728,49,
1,40,36,4,-42.9684366951417047,84649,84,
1,40,4,16,-51.7552370456096398,762442,762,
1,40,35,5,-53.1274154787908728,161059,161,
1,40,34,6,-62.9557755985004945,164462,164,
2,40,15,15,-128.0873390821711837,8582846,8582,
1,40,5,15,-57.3378534060552525,1018860,1018,
1,40,33,7,-72.4174110623805092,324817,324,
1,40,32,8,-81.4813805620706546,447116,447,
1,40,31,9,-90.1211988276438092,707588,707,
1,40,6,14,-62.5088491661431789,1587870,1587,
2,40,16,16,-136.2365992732598272,9414582,9414,
1,40,7,13,-67.2939191652130688,1859747,1859,
1,40,22,18,-146.6065977230739463,774052,774,
1,40,21,19,-150.6703362522639793,570874,570,
1,40,24,16,-137.3704682422564645,1196551,1196,
1,40,19,21,-150.6703362522639793,575060,575,
1,40,23,17,-142.1974529445341204,1243597,1243,
1,40,30,10,-98.3144254419088526,1495992,1495,
1,40,25,15,-132.0833414372091852,1465231,1465,
1,40,2,38,-21.8356531895512269,34965,34,
1,40,1,39,-10.9714878070197202,2171,2,
2,40,14,14,-119.8730839567940762,10180506,10180,
1,40,0,40,0.0000000000000000,84,0,
1,40,10,0,-17.8112315728343802,5807,5,
1,40,3,37,-32.5211723193251672,52172,52,
1,40,4,36,-42.9684366951417047,78106,78,
1,40,6,34,-62.9557756010000560,161601,161,
1,40,5,35,-53.1274154787908728,118006,118,
1,40,18,22,-146.6065977172794135,810635,810,
1,40,9,1,-22.8250304283625454,140037,140,
1,40,7,33,-72.4174110623805092,302051,302,
1,40,0,10,-17.8112315727634503,4853,4,
1,40,29,11,-106.0425133312201211,1846287,1846,
2,40,10,0,-27.8112315635504643,10548,10,
1,40,5,5,-40.2166320830158526,200909,200,
1,40,8,2,-27.5253040064077226,269629,269,
1,40,7,3,-31.9505177435743590,273412,273,
1,40,26,14,-126.3130923460686859,1905894,1905,
1,40,1,9,-22.8250304125157584,162893,162,
1,40,6,4,-36.1553588179620320,300400,300,
1,40,2,8,-27.5253040510047597,202676,202,
1,40,8,32,-81.4813805707103143,464341,464,
1,40,3,7,-31.9505177509205325,270286,270,
2,40,0,10,-27.8112315638711394,10563,10,
2,40,-1,11,-27.8112315635667642,10351,10,
1,40,12,8,-71.7343355179221192,4256283,4256,
2,40,-2,12,-27.8112315640968930,10541,10,
2,40,-3,13,-27.8112315635592680,10597,10,
1,40,4,6,-36.1553588244552628,300446,300,
2,40,-5,15,-27.8112315629828935,10565,10,
2,40,-6,16,-27.8112315633730240,10435,10,
2,40,-4,14,-27.8112315636968894,14457,14,
2,40,-7,17,-27.8112315647017212,10410,10,
2,40,-9,19,-27.8112315636072651,10303,10,
2,40,-8,18,-27.8112315634896561,10673,10,
2,40,-10,20,-27.8112315648167403,15124,15,
1,40,17,23,-142.1974529445341204,1132019,1132,
1,40,9,31,-90.1211988276438092,731005,731,
2,40,9,1,-31.4161134580090007,446654,446,
1,40,8,12,-71.7343355201194157,3405847,3405,
1,40,16,24,-137.3704682422564645,1201118,1201,
1,40,28,12,-113.2909094302018360,2383954,2383,
2,40,1,9,-31.4161134743885810,438867,438,
2,40,5,5,-43.4982662471489405,566762,566,
1,40,15,25,-132.0833414372091852,1459160,1459,
2,40,8,2,-34.7456021488089917,1193651,1193,
1,40,10,30,-98.3144254419088526,1544793,1544,
2,40,2,8,-34.7456021326367903,1164434,1164,
2,40,4,6,-40.7270413280556056,1239350,1239,
1,40,27,13,-120.0494422583932277,3235608,3235,
1,40,11,9,-75.8942047621268614,5310703,5310,
1,40,14,26,-126.3130923460686859,1907899,1907,
1,40,11,29,-106.0425133312201211,1845077,1845,
2,40,40,0,-56.8829377566561192,1346097,1346,
2,40,6,4,-40.7270413365028929,1639733,1639,
2,40,7,3,-37.8325978338573350,1765945,1765,
1,40,13,27,-120.0494422583932277,2441065,2441,
2,40,3,7,-37.8325978196779076,1926306,1926,
1,40,9,11,-75.8942047575221181,5330733,5330,
1,40,12,28,-113.2909094302018360,2634349,2634,
2,40,18,18,-152.3428307347153634,13519501,13519,
2,40,80,0,0.0000000000000000,174,0,
2,40,79,1,-12.9729742867119846,35617,35,
2,40,78,2,-25.8537738026455273,66165,66,
2,40,77,3,-38.5955615514989177,135284,135,
2,40,45,0,-56.0329624863185458,19238571,19238,
2,40,76,4,-51.1643164372097772,235837,235,
2,40,75,5,-63.5325776312780377,480571,480,
2,40,35,0,-56.0329624679840137,19790203,19790,
2,40,17,17,-144.3212056282399374,14907026,14907,
2,40,74,6,-75.6766517463787238,809995,809,
2,40,73,7,-87.5753874226082587,1284780,1284,
2,40,0,40,-56.8829377572550925,1778653,1778,
2,40,72,8,-99.2096421635829131,2232201,2232,
